post_id,is_viral_true,peak_time_true,peak_height_true,decay_rate_true,peak_time_fit,peak_height_fit,decay_rate_fit,baseline_fit,half_life_hours,fit_converged,total_engagement,viral_rule_based,viral_cluster_based
post_0000,1,7.000763732837336,5879.6194681948045,0.06654114141471161,7.710047929314158,5946.549870149304,0.0010000000000000002,230.82537619262322,693.1471805599451,True,6003.918908506674,1,1
post_0001,1,9.231334305567415,3939.6787504146223,0.028727597225655613,11.557333209118159,4027.4367863193065,0.0010000000000000002,356.83394147229865,693.1471805599451,True,4288.142192421845,1,1
post_0002,1,7.736687234248984,4938.295249899908,0.03996088755267949,9.852050701376191,5047.922773821239,0.0010000000000000002,454.7465928047953,693.1471805599451,True,5360.843980138999,1,1
post_0003,1,7.776378663412431,2887.1203907052904,0.07357686549144737,8.012515326187803,2781.15291202813,0.0010000000000000002,116.72485506445848,693.1471805599451,True,2813.2459665475103,1,0
post_0004,1,2.2667138808899727,12856.734089380478,0.05254219265328629,3.0388903767812874,11060.02168991011,0.0010000000000000002,1385.1998072827037,693.1471805599451,True,12053.322758239041,1,1
post_0005,1,8.087676173262302,2462.8845031874835,0.06566418635175875,8.177391389058275,2349.5869072694727,0.0010000000000000002,93.42738137360259,693.1471805599451,True,2372.414262779086,1,0
post_0006,1,4.70426056545571,2853.320251204389,0.04285775564797417,6.414672892049185,2692.8890098137254,0.0010000000000000002,284.0671754263984,693.1471805599451,True,2889.023700997174,1,0
post_0007,1,8.141529008378576,4901.717721523166,0.040630287500863616,9.016575109224041,4696.591133993856,0.0010000000000000002,182.93641272343797,693.1471805599451,True,4738.942791730259,1,1
post_0008,1,3.6993216067433092,4020.155694015832,0.07635318988597743,4.147413414004167,3486.0304882528158,0.0010000000000000002,354.2135282086957,693.1471805599451,True,3724.6770951674785,1,1
post_0009,1,7.17691638045749,2658.056903216855,0.05426737141721352,12.182427697097468,2695.4086190207695,0.0010000000000000002,541.9929738858647,693.1471805599451,True,3174.00533998625,1,0
post_0010,1,3.116186964226353,6764.371065932775,0.05614834574004897,4.280624438733423,6266.279286330938,0.0010000000000000002,859.467463760689,693.1471805599451,True,6915.578099845202,1,1
post_0011,1,3.602404370485761,2767.2379579193016,0.037195695227924236,4.683690710538388,2479.013512220384,0.0010000000000000002,271.61548795051146,693.1471805599451,True,2673.2889288613537,1,0
post_0012,1,9.173185527099587,3282.6188191552787,0.03682302834182477,10.866221889825091,3449.4762729961985,0.0010000000000000002,180.32348099205214,693.1471805599451,True,3539.1302985421603,1,0
post_0013,1,3.025529441133478,6933.623095128838,0.0753442028011708,4.208748184982408,5930.118963807052,0.0010000000000000002,940.1352259957669,693.1471805599451,True,6671.661607176363,1,1
post_0014,1,2.5908277899338144,1289.0781875658236,0.022968316385123807,3.7528920923296574,1114.285020666311,0.0010000000000000002,237.3660186322311,693.1471805599451,True,1314.9073917174117,1,0
post_0015,1,5.882448729322554,14288.068842946508,0.036949966869245406,6.227250407622983,13766.067864481991,0.0010000000000000002,1096.8889308489947,693.1471805599451,True,14427.871636649284,1,1
post_0016,1,6.034572771130714,2001.370181041717,0.059444548923431206,7.8647608457530005,1968.2060681779737,0.0010000000000000002,208.7750543916429,693.1471805599451,True,2116.612082703864,1,0
post_0017,1,7.96303943752205,2955.889332489761,0.025267355608469377,10.674700635426708,3029.4206798283344,0.0010000000000000002,366.6464945526839,693.1471805599451,True,3324.1054161123784,1,0
post_0018,1,5.223192809529714,6949.048783546303,0.03135113659930257,7.44539393153601,6503.996071786947,0.0010000000000000002,900.863123946993,693.1471805599451,True,7234.889912509816,1,1
post_0019,1,5.908846182151074,3017.043156361725,0.04743187437307224,7.689697539346163,3049.0709299807695,0.0010000000000000002,349.2372740201362,693.1471805599451,True,3308.3478049387704,1,0
post_0020,1,5.511115510906252,5376.8898063988545,0.052539211310777476,7.036981012199808,4950.408228730524,0.0010000000000000002,739.3032193546558,693.1471805599451,True,5543.565813022982,1,1
post_0021,1,2.961054089643338,4418.913479067062,0.02119266083091507,4.358530214414723,4048.9656568746987,0.0010000000000000002,478.18849355491176,693.1471805599451,True,4395.733942014575,1,1
